"2014-09-30", "2014-10-30", 0.69 
"2014-12-31", "2015-01-30", 0.66 
"2015-03-31", "2015-04-23", 0.63 
"2015-06-30", "2015-07-29", 0.74 
"2015-09-30", "2015-10-29", 0.75 
"2015-12-31", "2016-01-28", 0.67 
"2016-03-31", "2016-04-28", 0.72 
"2016-06-30", "2016-07-27", 0.81 
"2016-09-30", "2016-10-27", 0.82 
"2016-12-31", "2017-02-01", 0.68 
"2017-03-31", "2017-05-02", 0.73 
"2017-06-30", "2017-07-27", 0.85 
"2017-09-30", "2017-10-26", 0.90 
"2017-12-31", "2018-02-01", 0.91 
"2018-03-31", "2018-04-26", 0.95 
"2018-06-30", "2018-07-26", 1.01 
"2018-09-30", "2018-10-25", 1.08 
"2018-12-31", "2019-01-31", 0.95 
"2019-03-31", "2019-04-25", 0.90 
"2019-06-30", "2019-07-30", 1.10 
"2019-09-30", "2019-10-31", 1.19 
