"2014-09-30", "2014-10-30", 0.50 
"2014-12-31", "2015-02-05", 0.49 
"2015-03-31", "2015-04-30", 0.50 
"2015-06-30", "2015-07-30", 0.56 
"2015-09-30", "2015-10-29", 0.60 
"2015-12-31", "2016-02-04", 0.66 
"2016-03-31", "2016-04-28", 0.68 
"2016-06-30", "2016-07-28", 0.77 
"2016-09-30", "2016-10-27", 0.77 
"2016-12-31", "2017-02-02", 0.81 
"2017-03-31", "2017-05-04", 0.88 
"2017-06-30", "2017-08-03", 0.95 
"2017-09-30", "2017-11-02", 1.00 
"2017-12-31", "2018-02-01", 1.15 
"2018-03-31", "2018-05-03", 1.31 
"2018-06-30", "2018-08-02", 1.30 
"2018-09-30", "2018-11-01", 1.35 
"2018-12-31", "2019-01-31", 1.31 
"2019-03-31", "2019-05-02", 1.55 
"2019-06-30", "2019-08-01", 1.54 
"2019-09-30", "2019-10-31", 1.68 
