"2014-08-31", "2014-09-25", 0.82 
"2014-11-30", "2015-01-06", 0.97 
"2015-02-28", "2015-04-01", 0.81 
"2015-05-31", "2015-06-25", 0.54 
"2015-08-31", "2015-10-01", 0.37 
"2015-11-30", "2015-12-22", 0.24 
"2016-02-29", "2016-03-30", -0.05 
"2016-05-31", "2016-06-30", -0.08 
"2016-08-31", "2016-10-04", -0.05 
"2016-11-30", "2016-12-21", 0.32 
"2017-02-28", "2017-03-23", 0.90 
"2017-05-31", "2017-06-29", 1.62 
"2017-08-31", "2017-09-26", 2.02 
"2017-11-30", "2017-12-19", 2.45 
"2018-02-28", "2018-03-22", 2.82 
"2018-05-31", "2018-06-20", 3.15 
"2018-08-31", "2018-09-20", 3.53 
"2018-11-30", "2018-12-18", 2.97 
"2019-02-28", "2019-03-20", 1.71 
"2019-05-31", "2019-06-25", 1.05 
"2019-08-31", "2019-09-26", 0.56 
