"2014-09-30", "2014-10-22", 1.79 
"2014-12-31", "2015-01-26", 1.64 
"2015-03-31", "2015-04-29", 1.00 
"2015-06-30", "2015-07-27", 1.41 
"2015-09-30", "2015-10-28", 1.49 
"2015-12-31", "2016-01-27", 1.20 
"2016-03-31", "2016-04-21", 1.29 
"2016-06-30", "2016-07-27", 1.36 
"2016-09-30", "2016-10-26", 1.55 
"2016-12-31", "2017-01-25", 1.42 
"2017-03-31", "2017-04-26", 1.48 
"2017-06-30", "2017-07-26", 1.71 
"2017-09-30", "2017-10-25", 1.75 
"2017-12-31", "2018-01-24", 1.69 
"2018-03-31", "2018-04-25", 1.93 
"2018-06-30", "2018-07-25", 2.50 
"2018-09-30", "2018-10-24", 2.52 
"2018-12-31", "2019-01-24", 2.57 
"2019-03-31", "2019-04-24", 2.51 
"2019-06-30", "2019-07-24", 2.70 
"2019-09-30", "2019-10-23", 2.58 
