"2014-07-31", "2014-08-13", 0.60 
"2014-10-31", "2014-11-12", 0.70 
"2015-01-31", "2015-02-11", 0.75 
"2015-04-30", "2015-05-20", 0.65 
"2015-07-31", "2015-08-19", 0.29 
"2015-10-31", "2015-11-18", 0.61 
"2016-01-31", "2016-02-17", 0.70 
"2016-04-30", "2016-05-25", 0.55 
"2016-07-31", "2016-08-17", 0.46 
"2016-10-31", "2016-11-16", 0.60 
"2017-01-31", "2017-02-15", 0.82 
"2017-04-30", "2017-05-24", 0.86 
"2017-07-31", "2017-08-16", 0.62 
"2017-10-31", "2017-11-15", 0.81 
"2018-01-31", "2018-02-14", 0.99 
"2018-04-30", "2018-05-23", 1.05 
"2018-07-31", "2018-08-15", 1.04 
"2018-10-31", "2018-11-14", 1.06 
"2019-01-31", "2019-02-13", 1.20 
"2019-04-30", "2019-05-22", 1.22 
"2019-07-31", "2019-08-14", 0.65 
