"2014-06-30", "2014-08-07", 0.01 
"2014-09-30", "2014-11-05", 0.09 
"2014-12-31", "2015-02-05", 0.26 
"2015-03-31", "2015-05-05", 0.05 
"2015-06-30", "2015-08-12", 0.07 
"2015-09-30", "2015-11-05", 0.05 
"2015-12-31", "2016-02-04", 0.20 
"2016-03-31", "2016-05-05", 0.04 
"2016-06-30", "2016-08-08", 0.10 
"2016-09-30", "2016-11-07", -0.01 
"2016-12-31", "2017-02-09", 0.19 
"2017-03-31", "2017-05-09", 0.07 
"2017-06-30", "2017-08-10", 0.11 
"2017-09-30", "2017-11-09", 0.07 
"2017-12-31", "2018-02-08", 0.24 
"2018-03-31", "2018-05-10", 0.06 
"2018-06-30", "2018-08-09", 0.08 
"2018-09-30", "2018-11-07", 0.17 
"2018-12-31", "2019-02-07", 0.18 
"2019-03-31", "2019-05-09", 0.04 
"2019-06-30", "2019-08-08", 0.07 
