"2014-09-30", "2014-10-30", 0.77 
"2014-12-31", "2015-02-20", 0.49 
"2015-03-31", "2015-05-01", 1.04 
"2015-06-30", "2015-07-31", 0.57 
"2015-09-30", "2015-10-30", 0.80 
"2015-12-31", "2016-02-19", 0.50 
"2016-03-31", "2016-04-29", 0.91 
"2016-06-30", "2016-07-29", 0.57 
"2016-09-30", "2016-10-31", 0.88 
"2016-12-31", "2017-02-24", 0.54 
"2017-03-31", "2017-04-28", 0.92 
"2017-06-30", "2017-07-28", 0.62 
"2017-09-30", "2017-10-31", 0.82 
"2017-12-31", "2018-02-23", 0.57 
"2018-03-31", "2018-04-30", 0.97 
"2018-06-30", "2018-08-01", 0.64 
"2018-09-30", "2018-10-30", 0.95 
"2018-12-31", "2019-02-27", 0.56 
"2019-03-31", "2019-05-02", 1.08 
"2019-06-30", "2019-07-30", 0.58 
"2019-09-30", "2019-10-31", 0.98 
