"2014-09-30", "2014-10-28", 1.89 
"2014-12-31", "2015-01-27", 1.84 
"2015-03-31", "2015-04-28", 2.06 
"2015-06-30", "2015-08-04", 1.43 
"2015-09-30", "2015-10-22", 1.52 
"2015-12-31", "2016-01-26", 1.52 
"2016-03-31", "2016-04-26", 1.51 
"2016-06-30", "2016-08-04", 1.90 
"2016-09-30", "2016-10-21", 1.61 
"2016-12-31", "2017-02-02", 1.91 
"2017-03-31", "2017-04-27", 2.11 
"2017-06-30", "2017-08-03", 2.45 
"2017-09-30", "2017-11-02", 2.24 
"2017-12-31", "2018-02-01", 2.15 
"2018-03-31", "2018-04-26", 2.80 
"2018-06-30", "2018-08-02", 3.22 
"2018-09-30", "2018-11-01", 2.84 
"2018-12-31", "2019-01-31", 2.51 
"2019-03-31", "2019-05-02", 3.17 
"2019-06-30", "2019-08-01", 3.31 
"2019-09-30", "2019-10-31", 2.76 
