"2014-09-30", "2014-10-23", 0.37 
"2014-12-31", "2015-01-29", 0.58 
"2015-03-31", "2015-04-23", 0.15 
"2015-06-30", "2015-07-23", 0.28 
"2015-09-30", "2015-10-22", 0.30 
"2015-12-31", "2016-01-28", 0.64 
"2016-03-31", "2016-04-21", 0.24 
"2016-06-30", "2016-07-21", 0.34 
"2016-09-30", "2016-10-20", 0.37 
"2016-12-31", "2017-01-26", 0.83 
"2017-03-31", "2017-04-25", 0.28 
"2017-06-30", "2017-07-25", 0.32 
"2017-09-30", "2017-10-24", 0.58 
"2017-12-31", "2018-01-30", 0.88 
"2018-03-31", "2018-04-24", 0.59 
"2018-06-30", "2018-07-26", 1.12 
"2018-09-30", "2018-10-23", 1.01 
"2018-12-31", "2019-01-29", 0.84 
"2019-03-31", "2019-04-23", 0.59 
"2019-06-30", "2019-07-23", 0.86 
"2019-09-30", "2019-10-22", 0.99 
