"2014-09-30", "2014-10-15", 1.79 
"2014-12-31", "2015-01-16", 1.84 
"2015-03-31", "2015-04-15", 1.75 
"2015-06-30", "2015-07-15", 1.88 
"2015-09-30", "2015-10-14", 1.90 
"2015-12-31", "2016-01-15", 1.87 
"2016-03-31", "2016-04-14", 1.68 
"2016-06-30", "2016-07-15", 1.82 
"2016-09-30", "2016-10-14", 1.84 
"2016-12-31", "2017-01-13", 1.97 
"2017-03-31", "2017-04-13", 1.96 
"2017-06-30", "2017-07-14", 2.10 
"2017-09-30", "2017-10-13", 2.16 
"2017-12-31", "2018-01-12", 2.29 
"2018-03-31", "2018-04-13", 2.43 
"2018-06-30", "2018-07-13", 2.72 
"2018-09-30", "2018-10-12", 2.82 
"2018-12-31", "2019-01-16", 2.75 
"2019-03-31", "2019-04-12", 2.61 
"2019-06-30", "2019-07-17", 2.88 
"2019-09-30", "2019-10-16", 2.94 
