"2014-09-30", "2014-10-16", 1.41 
"2014-12-31", "2015-01-15", 1.05 
"2015-03-31", "2015-04-16", 1.19 
"2015-06-30", "2015-07-16", 1.67 
"2015-09-30", "2015-10-15", 1.61 
"2015-12-31", "2016-01-21", 1.23 
"2016-03-31", "2016-04-21", 1.31 
"2016-06-30", "2016-07-21", 1.85 
"2016-09-30", "2016-10-20", 1.56 
"2016-12-31", "2017-01-19", 1.19 
"2017-03-31", "2017-04-20", 1.35 
"2017-06-30", "2017-07-20", 1.83 
"2017-09-30", "2017-10-19", 1.52 
"2017-12-31", "2018-01-18", 1.19 
"2018-03-31", "2018-04-19", 1.39 
"2018-06-30", "2018-07-19", 1.90 
"2018-09-30", "2018-10-18", 1.45 
"2018-12-31", "2019-01-17", 1.15 
"2019-03-31", "2019-04-18", 1.38 
"2019-06-30", "2019-07-18", 1.85 
"2019-09-30", "2019-10-17", 1.67 
