"2014-09-30", "2014-11-05", 0.61 
"2014-12-31", "2015-02-19", 0.51 
"2015-03-31", "2015-04-30", 0.31 
"2015-06-30", "2015-08-05", 0.24 
"2015-09-30", "2015-11-05", 0.30 
"2015-12-31", "2016-02-25", 0.30 
"2016-03-31", "2016-05-05", 0.23 
"2016-06-30", "2016-08-04", 0.18 
"2016-09-30", "2016-11-03", 0.55 
"2016-12-31", "2017-02-21", 0.56 
"2017-03-31", "2017-05-04", 0.39 
"2017-06-30", "2017-08-03", 0.50 
"2017-09-30", "2017-11-02", 0.63 
"2017-12-31", "2018-02-22", 0.45 
"2018-03-31", "2018-05-03", 0.40 
"2018-06-30", "2018-08-02", 0.59 
"2018-09-30", "2018-11-01", 0.88 
"2018-12-31", "2019-02-21", 0.96 
"2019-03-31", "2019-05-02", 0.96 
"2019-06-30", "2019-08-01", 0.31 
"2019-09-30", "2019-10-31", 1.14 
