"2014-06-30", "2014-08-04", 1.35 
"2014-09-30", "2014-11-04", 1.35 
"2014-12-31", "2015-02-10", 0.80 
"2015-03-31", "2015-05-05", -0.03 
"2015-06-30", "2015-08-04", 0.10 
"2015-09-30", "2015-11-02", -0.01 
"2015-12-31", "2016-02-10", -0.18 
"2016-03-31", "2016-04-25", -0.64 
"2016-06-30", "2016-07-27", -0.22 
"2016-09-30", "2016-11-01", 0.13 
"2016-12-31", "2017-02-07", 0.49 
"2017-03-31", "2017-05-03", 0.25 
"2017-06-30", "2017-08-01", 0.21 
"2017-09-30", "2017-11-01", 0.48 
"2017-12-31", "2018-02-06", 1.22 
"2018-03-31", "2018-05-02", 1.66 
"2018-06-30", "2018-08-07", 1.41 
"2018-09-30", "2018-11-06", 2.07 
"2018-12-31", "2019-02-13", 1.18 
"2019-03-31", "2019-05-06", 1.83 
"2019-06-30", "2019-08-06", 2.01 
