"2014-06-30", "NaN-NaN-NaN", NaN 
"2014-09-30", "NaN-NaN-NaN", NaN 
"2014-12-31", "2015-02-22 ", NaN 
"2015-03-31", "2015-04-20 ", NaN 
"2015-06-30", "2015-07-14 ", NaN 
"2015-09-30", "2015-10-26 ", NaN 
"2015-12-31", "NaN-NaN-NaN", NaN 
"2016-03-31", "2016-04-26 ", NaN 
"2016-06-30", "2016-08-03 ", NaN 
"2016-09-30", "NaN-NaN-NaN", NaN 
"2016-12-31", "2017-02-16 ", NaN 
"2017-03-31", "2017-04-26 ", NaN 
"2017-06-30", "NaN-NaN-NaN", NaN 
"2017-09-30", "2017-10-25 ", NaN 
"2017-12-31", "2018-03-01 ", NaN 
"2018-03-31", "NaN-NaN-NaN", NaN 
"2018-06-30", "NaN-NaN-NaN", NaN 
"2018-09-30", "NaN-NaN-NaN", NaN 
"2018-12-31", "NaN-NaN-NaN", NaN 
"2019-03-31", "NaN-NaN-NaN", NaN 
"2019-06-30", "NaN-NaN-NaN", NaN 
