"2014-09-30", "2014-10-23", 0.59 
"2014-12-31", "2015-01-22", 0.66 
"2015-03-31", "2015-04-23", 0.65 
"2015-06-30", "2015-07-30", 0.68 
"2015-09-30", "2015-10-22", 0.58 
"2015-12-31", "2016-01-21", 0.69 
"2016-03-31", "2016-04-26", 0.68 
"2016-06-30", "2016-07-28", 0.74 
"2016-09-30", "2016-10-25", 0.62 
"2016-12-31", "2017-01-23", 0.73 
"2017-03-31", "2017-04-27", 0.71 
"2017-06-30", "2017-08-01", 0.77 
"2017-09-30", "2017-10-26", 0.66 
"2017-12-31", "2018-01-22", 0.95 
"2018-03-31", "2018-04-26", 0.92 
"2018-06-30", "2018-08-02", 0.95 
"2018-09-30", "2018-10-25", 0.81 
"2018-12-31", "2019-01-24", 1.00 
"2019-03-31", "2019-05-02", 0.89 
"2019-06-30", "2019-07-25", 0.95 
"2019-09-30", "2019-10-24", 0.93 
