"2014-09-30", "2014-10-23", 1.65 
"2014-12-31", "2015-01-29", 1.86 
"2015-03-31", "2015-04-23", 1.78 
"2015-06-30", "2015-07-23", 1.65 
"2015-09-30", "2015-10-22", 1.47 
"2015-12-31", "2016-01-28", 1.85 
"2016-03-31", "2016-04-28", 1.43 
"2016-06-30", "2016-07-28", 2.38 
"2016-09-30", "2016-10-27", 1.79 
"2016-12-31", "2017-01-26", 1.84 
"2017-03-31", "2017-04-27", 1.73 
"2017-06-30", "2017-07-27", 1.89 
"2017-09-30", "2017-10-26", 1.97 
"2017-12-31", "2018-01-25", 1.94 
"2018-03-31", "2018-04-26", 2.20 
"2018-06-30", "2018-07-26", 2.78 
"2018-09-30", "2018-10-25", 2.25 
"2018-12-31", "2019-01-31", 2.93 
"2019-03-31", "2019-04-25", 2.77 
"2019-06-30", "2019-07-25", 2.92 
"2019-09-30", "2019-10-24", 3.08 
