"2014-09-30", "2014-10-15", 0.24 
"2014-12-31", "2015-01-16", 0.25 
"2015-03-31", "2015-04-15", 0.22 
"2015-06-30", "2015-07-16", 0.25 
"2015-09-30", "2015-10-15", 0.28 
"2015-12-31", "2016-01-19", 0.28 
"2016-03-31", "2016-04-15", 0.29 
"2016-06-30", "2016-07-18", 0.30 
"2016-09-30", "2016-10-17", 0.35 
"2016-12-31", "2017-01-18", 0.36 
"2017-03-31", "2017-04-18", 0.39 
"2017-06-30", "2017-07-18", 0.39 
"2017-09-30", "2017-10-16", 0.42 
"2017-12-31", "2018-01-17", 0.41 
"2018-03-31", "2018-04-16", 0.55 
"2018-06-30", "2018-07-17", 0.60 
"2018-09-30", "2018-10-15", 0.65 
"2018-12-31", "2019-01-16", 0.65 
"2019-03-31", "2019-04-15", 0.69 
"2019-06-30", "2019-07-16", 0.66 
"2019-09-30", "2019-10-15", 0.70 
