"2014-09-30", "2014-10-16", 1.76 
"2014-12-31", "2015-02-05", 1.97 
"2015-03-31", "2015-04-23", 1.87 
"2015-06-30", "2015-07-23", 2.03 
"2015-09-30", "2015-10-22", 1.98 
"2015-12-31", "2016-02-04", 2.22 
"2016-03-31", "2016-04-21", 2.16 
"2016-06-30", "2016-07-21", 2.36 
"2016-09-30", "2016-10-20", 2.22 
"2016-12-31", "2017-02-02", 2.47 
"2017-03-31", "2017-04-20", 2.39 
"2017-06-30", "2017-07-20", 2.60 
"2017-09-30", "2017-10-19", 2.45 
"2017-12-31", "2018-02-08", 2.69 
"2018-03-31", "2018-04-19", 2.79 
"2018-06-30", "2018-07-19", 3.11 
"2018-09-30", "2018-10-18", 2.88 
"2018-12-31", "2019-02-07", 3.03 
"2019-03-31", "2019-04-18", 3.01 
"2019-06-30", "2019-07-18", 3.22 
"2019-09-30", "2019-10-17", 2.96 
