"2014-07-31", "2014-08-20", 0.65 
"2014-10-31", "2014-12-03", 0.64 
"2015-01-31", "2015-02-18", 0.80 
"2015-04-30", "2015-05-20", 0.68 
"2015-07-31", "2015-08-19", 0.63 
"2015-10-31", "2015-12-02", 0.67 
"2016-01-31", "2016-02-17", 0.68 
"2016-04-30", "2016-05-18", 0.81 
"2016-07-31", "2016-08-17", 0.76 
"2016-10-31", "2016-11-30", 0.77 
"2017-01-31", "2017-02-15", 0.94 
"2017-04-30", "2017-05-17", 0.88 
"2017-07-31", "2017-08-16", 0.92 
"2017-10-31", "2017-11-29", 0.69 
"2018-01-31", "2018-02-21", 1.10 
"2018-04-30", "2018-05-23", 1.08 
"2018-07-31", "2018-08-22", 0.95 
"2018-10-31", "2018-12-05", 0.78 
"2019-01-31", "2019-02-20", 1.08 
"2019-04-30", "2019-05-22", 1.16 
"2019-07-31", "2019-08-21", 1.18 
