"2014-09-30", "2014-10-27", 1.34 
"2014-12-31", "2015-01-26", 1.35 
"2015-03-31", "2015-04-17", 1.08 
"2015-06-30", "2015-07-31", 0.77 
"2015-09-30", "2015-10-30", 0.54 
"2015-12-31", "2016-01-29", 0.82 
"2016-03-31", "2016-04-29", 0.22 
"2016-06-30", "2016-08-02", 0.69 
"2016-09-30", "2016-10-19", 0.99 
"2016-12-31", "2017-01-24", 1.38 
"2017-03-31", "2017-04-26", 1.10 
"2017-06-30", "2017-07-25", 0.65 
"2017-09-30", "2017-10-23", 0.96 
"2017-12-31", "2018-01-29", 1.48 
"2018-03-31", "2018-05-01", 1.46 
"2018-06-30", "2018-07-30", 1.62 
"2018-09-30", "2018-11-02", 1.70 
"2018-12-31", "2019-02-04", 1.41 
"2019-03-31", "2019-04-30", 0.83 
"2019-06-30", "2019-08-02", 0.86 
"2019-09-30", "2019-11-01", 1.03 
