"2014-09-30", "2014-10-28", -0.12 
"2014-12-31", "2015-02-19", 0.12 
"2015-03-31", "2015-04-28", -0.09 
"2015-06-30", "2015-07-30", 0.42 
"2015-09-30", "2015-10-27", 0.15 
"2015-12-31", "2016-02-17", 0.34 
"2016-03-31", "2016-04-26", 0.56 
"2016-06-30", "2016-07-27", 0.25 
"2016-09-30", "2016-10-24", 0.42 
"2016-12-31", "2017-02-14", 0.45 
"2017-03-31", "2017-04-24", 0.80 
"2017-06-30", "2017-07-19", 0.67 
"2017-09-30", "2017-10-23", 0.63 
"2017-12-31", "2018-02-08", 0.61 
"2018-03-31", "2018-05-01", 0.78 
"2018-06-30", "2018-08-01", 0.92 
"2018-09-30", "2018-10-30", 0.93 
"2018-12-31", "2019-02-07", 0.75 
"2019-03-31", "2019-04-25", 1.06 
"2019-06-30", "2019-07-25", 1.09 
"2019-09-30", "2019-10-28", 1.01 
