"2014-09-30", "2014-10-21", 2.61 
"2014-12-31", "2015-01-22", 3.07 
"2015-03-31", "2015-04-21", 2.53 
"2015-06-30", "2015-07-21", 2.52 
"2015-09-30", "2015-10-20", 2.93 
"2015-12-31", "2016-01-21", 2.90 
"2016-03-31", "2016-04-21", 2.33 
"2016-06-30", "2016-07-21", 2.20 
"2016-09-30", "2016-10-20", 2.40 
"2016-12-31", "2017-01-24", 3.20 
"2017-03-31", "2017-04-20", 2.16 
"2017-06-30", "2017-07-20", 1.92 
"2017-09-30", "2017-10-19", 0.91 
"2017-12-31", "2018-01-23", 1.51 
"2018-03-31", "2018-04-24", 2.46 
"2018-06-30", "2018-07-19", 1.81 
"2018-09-30", "2018-10-18", 2.54 
"2018-12-31", "2019-01-22", 2.13 
"2019-03-31", "2019-04-18", 2.83 
"2019-06-30", "2019-07-23", 2.02 
"2019-09-30", "2019-10-22", 1.43 
