"2014-09-30", "2014-10-22", 0.55 
"2014-12-31", "2015-01-28", 0.81 
"2015-03-31", "2015-04-22", 0.42 
"2015-06-30", "2015-07-22", 1.12 
"2015-09-30", "2015-10-21", 0.64 
"2015-12-31", "2016-01-27", 0.82 
"2016-03-31", "2016-04-20", 0.50 
"2016-06-30", "2016-07-20", 1.16 
"2016-09-30", "2016-10-19", 0.67 
"2016-12-31", "2017-02-01", 0.94 
"2017-03-31", "2017-04-26", 0.46 
"2017-06-30", "2017-07-26", 1.25 
"2017-09-30", "2017-10-25", 0.72 
"2017-12-31", "2018-01-31", 0.91 
"2018-03-31", "2018-04-26", 0.57 
"2018-06-30", "2018-07-26", 1.69 
"2018-09-30", "2018-10-25", 0.95 
"2018-12-31", "2019-01-31", 1.11 
"2019-03-31", "2019-04-25", 0.63 
"2019-06-30", "2019-07-25", 1.80 
"2019-09-30", "2019-10-24", 1.04 
