"2014-09-30", "2014-10-27", 0.01 
"2014-12-31", "2015-02-05", 0.12 
"2015-03-31", "2015-04-28", 0.07 
"2015-06-30", "2015-07-28", 0.07 
"2015-09-30", "2015-10-27", 0.10 
"2015-12-31", "2016-02-10", 0.16 
"2016-03-31", "2016-04-26", 0.15 
"2016-06-30", "2016-07-26", 0.13 
"2016-09-30", "2016-10-27", 0.13 
"2016-12-31", "2017-02-09", 0.16 
"2017-03-31", "2017-04-26", 0.11 
"2017-06-30", "2017-07-27", 0.08 
"2017-09-30", "2017-10-26", 0.10 
"2017-12-31", "2018-02-08", 0.19 
"2018-03-31", "2018-04-25", 0.16 
"2018-06-30", "2018-07-27", 0.17 
"2018-09-30", "2018-10-25", 0.21 
"2018-12-31", "2019-02-07", 0.31 
"2019-03-31", "2019-04-23", 0.37 
"2019-06-30", "2019-07-26", 0.20 
"2019-09-30", "2019-10-24", 0.17 
