"2014-09-30", "2014-10-15", 2.20 
"2014-12-31", "2015-01-21", 2.19 
"2015-03-31", "2015-04-21", 1.34 
"2015-06-30", "2015-07-22", 1.95 
"2015-09-30", "2015-10-21", 2.57 
"2015-12-31", "2016-01-27", 2.19 
"2016-03-31", "2016-04-20", 1.40 
"2016-06-30", "2016-07-20", 2.06 
"2016-09-30", "2016-10-19", 2.58 
"2016-12-31", "2017-01-25", 2.67 
"2017-03-31", "2017-04-19", 1.63 
"2017-06-30", "2017-07-19", 2.37 
"2017-09-30", "2017-10-18", 3.25 
"2017-12-31", "2018-01-24", 3.34 
"2018-03-31", "2018-04-18", 2.87 
"2018-06-30", "2018-07-18", 3.85 
"2018-09-30", "2018-10-17", 4.74 
"2018-12-31", "2019-01-23", 4.85 
"2019-03-31", "2019-04-17", 3.31 
"2019-06-30", "2019-07-17", 4.74 
"2019-09-30", "2019-10-16", 5.96 
