"2014-09-30", "2014-11-03", 0.32 
"2014-12-31", "2015-02-17", 0.27 
"2015-03-31", "2015-05-04", 0.36 
"2015-06-30", "2015-08-03", 0.71 
"2015-09-30", "2015-11-02", 0.85 
"2015-12-31", "2016-02-16", 0.99 
"2016-03-31", "2016-05-02", -0.49 
"2016-06-30", "2016-08-01", 0.93 
"2016-09-30", "2016-10-31", 0.32 
"2016-12-31", "2017-02-13", 0.24 
"2017-03-31", "2017-05-01", 0.24 
"2017-06-30", "2017-07-31", 0.43 
"2017-09-30", "2017-10-30", 0.36 
"2017-12-31", "2018-02-12", 0.34 
"2018-03-31", "2018-04-30", -0.09 
"2018-06-30", "2018-07-30", 0.58 
"2018-09-30", "2018-10-29", 1.00 
"2018-12-31", "2019-02-11", 0.53 
"2019-03-31", "2019-04-29", 0.13 
"2019-06-30", "2019-07-29", 12.56 
"2019-09-30", "2019-10-28", 0.28 
