"2014-09-30", "2014-10-23", 0.70 
"2014-12-31", "2015-02-05", 0.70 
"2015-03-31", "2015-04-23", 0.74 
"2015-06-30", "2015-07-23", 0.74 
"2015-09-30", "2015-10-22", 0.78 
"2015-12-31", "2016-02-11", 0.79 
"2016-03-31", "2016-04-28", 0.85 
"2016-06-30", "2016-07-28", 0.91 
"2016-09-30", "2016-10-27", 0.93 
"2016-12-31", "2017-02-09", 0.92 
"2017-03-31", "2017-04-27", 0.96 
"2017-06-30", "2017-07-27", 1.05 
"2017-09-30", "2017-10-26", 1.00 
"2017-12-31", "2018-02-08", 0.96 
"2018-03-31", "2018-04-26", 1.07 
"2018-06-30", "2018-07-26", 1.18 
"2018-09-30", "2018-10-25", 1.23 
"2018-12-31", "2019-02-07", 1.58 
"2019-03-31", "2019-04-25", 1.31 
"2019-06-30", "2019-07-25", 1.33 
"2019-09-30", "2019-10-24", 1.36 
