"2014-09-30", "2014-10-28", -0.72 
"2014-12-31", "2015-01-28", -0.74 
"2015-03-31", "2015-04-29", -0.83 
"2015-06-30", "2015-07-29", -0.78 
"2015-09-30", "2015-10-28", -0.39 
"2015-12-31", "2016-01-27", 0.17 
"2016-03-31", "2016-04-27", 0.09 
"2016-06-30", "2016-07-27", 0.24 
"2016-09-30", "2016-10-25", 0.16 
"2016-12-31", "2017-01-25", 0.35 
"2017-03-31", "2017-04-27", 0.41 
"2017-06-30", "2017-07-26", 0.39 
"2017-09-30", "2017-10-25", 0.53 
"2017-12-31", "2018-01-31", 0.61 
"2018-03-31", "2018-04-26", 0.76 
"2018-06-30", "2018-07-25", 0.94 
"2018-09-30", "2018-10-24", 1.09 
"2018-12-31", "2019-02-05", 1.30 
"2019-03-31", "2019-04-30", 1.14 
"2019-06-30", "2019-07-31", 1.26 
"2019-09-30", "2019-10-30", 1.23 
