"2014-09-30", "2014-11-05", 0.77 
"2014-12-31", "2015-02-11", 0.41 
"2015-03-31", "2015-05-06", 0.49 
"2015-06-30", "2015-08-05", 1.34 
"2015-09-30", "2015-11-04", 1.00 
"2015-12-31", "2016-02-09", 0.60 
"2016-03-31", "2016-05-03", 1.06 
"2016-06-30", "2016-08-02", 2.23 
"2016-09-30", "2016-11-01", 1.63 
"2016-12-31", "2017-02-07", 1.03 
"2017-03-31", "2017-05-03", 1.61 
"2017-06-30", "2017-08-04", 2.52 
"2017-09-30", "2017-10-31", 4.08 
"2017-12-31", "2018-02-06", 0.32 
"2018-03-31", "2018-05-01", 2.47 
"2018-06-30", "2018-07-31", 3.69 
"2018-09-30", "2018-10-30", 3.33 
"2018-12-31", "2019-02-05", 1.63 
"2019-03-31", "2019-04-30", 3.69 
"2019-06-30", "2019-07-30", 4.31 
"2019-09-30", "2019-10-30", 5.50 
