"2014-09-30", "2014-10-28", 0.37 
"2014-12-31", "2015-02-10", 1.22 
"2015-03-31", "2015-04-28", 3.34 
"2015-06-30", "2015-07-28", 1.54 
"2015-09-30", "2015-10-27", 0.37 
"2015-12-31", "2016-02-09", 1.09 
"2016-03-31", "2016-05-06", 3.41 
"2016-06-30", "2016-08-05", 1.66 
"2016-09-30", "2016-11-04", 1.04 
"2016-12-31", "2017-02-09", 1.88 
"2017-03-31", "2017-05-04", 3.71 
"2017-06-30", "2017-08-03", 1.45 
"2017-09-30", "2017-11-02", 1.12 
"2017-12-31", "2018-02-08", 2.21 
"2018-03-31", "2018-05-07", 2.71 
"2018-06-30", "2018-08-02", 1.70 
"2018-09-30", "2018-11-02", 1.32 
"2018-12-31", "2019-02-07", 4.00 
"2019-03-31", "2019-05-02", 2.98 
"2019-06-30", "2019-07-31", 1.78 
"2019-09-30", "2019-10-31", 1.31 
