"2014-09-30", "2014-10-29", 0.15 
"2014-12-31", "2015-02-18", 0.16 
"2015-03-31", "2015-04-29", 0.16 
"2015-06-30", "2015-07-29", 0.15 
"2015-09-30", "2015-10-28", 0.22 
"2015-12-31", "2016-02-17", 0.01 
"2016-03-31", "2016-05-04", 0.03 
"2016-06-30", "2016-08-01", 0.19 
"2016-09-30", "2016-10-31", 0.20 
"2016-12-31", "2017-02-15", 0.17 
"2017-03-31", "2017-05-03", 0.14 
"2017-06-30", "2017-08-02", 0.13 
"2017-09-30", "2017-11-01", 0.15 
"2017-12-31", "2018-02-14", 0.20 
"2018-03-31", "2018-05-02", 0.19 
"2018-06-30", "2018-08-01", 0.17 
"2018-09-30", "2018-10-31", 0.13 
"2018-12-31", "2019-02-13", 0.19 
"2019-03-31", "2019-05-01", 0.16 
"2019-06-30", "2019-07-31", 0.26 
"2019-09-30", "2019-10-30", 0.26 
