"2014-06-30", "2014-08-07", 1.04 
"2014-09-30", "2014-11-06", 0.89 
"2014-12-31", "2015-03-05", 0.69 
"2015-03-31", "2015-05-07", 0.02 
"2015-06-30", "2015-08-06", 0.16 
"2015-09-30", "2015-11-05", 0.10 
"2015-12-31", "2016-03-03", -0.04 
"2016-03-31", "2016-05-05", -0.50 
"2016-06-30", "2016-08-04", -0.19 
"2016-09-30", "2016-11-03", -0.32 
"2016-12-31", "2017-03-02", 0.40 
"2017-03-31", "2017-05-04", 0.25 
"2017-06-30", "2017-08-03", 0.29 
"2017-09-30", "2017-11-02", 0.19 
"2017-12-31", "2018-03-01", 0.46 
"2018-03-31", "2018-05-03", 0.71 
"2018-06-30", "2018-08-02", 1.04 
"2018-09-30", "2018-11-01", 1.11 
"2018-12-31", "2019-03-07", -0.21 
"2019-03-31", "2019-05-09", 0.70 
"2019-06-30", "2019-08-01", 0.87 
