"2014-09-30", "2014-11-12", 0.43 
"2014-12-31", "2015-02-25", 0.06 
"2015-03-31", "2015-05-12", 0.01 
"2015-06-30", "2015-07-24", -0.26 
"2015-09-30", "2015-11-12", -0.04 
"2015-12-31", "2016-02-24", 0.18 
"2016-03-31", "2016-05-03", -0.19 
"2016-06-30", "2016-07-21", 0.13 
"2016-09-30", "2016-11-03", 0.05 
"2016-12-31", "2017-02-16", 0.12 
"2017-03-31", "2017-05-02", 0.15 
"2017-06-30", "2017-07-21", 0.20 
"2017-09-30", "2017-11-08", 0.03 
"2017-12-31", "2018-02-15", 0.15 
"2018-03-31", "2018-05-01", 0.21 
"2018-06-30", "2018-08-01", 0.27 
"2018-09-30", "2018-11-01", 0.23 
"2018-12-31", "2019-02-28", 0.42 
"2019-03-31", "2019-04-30", 0.19 
"2019-06-30", "2019-07-31", 0.28 
"2019-09-30", "2019-10-31", 0.20 
