"2014-09-30", "2014-10-20", 1.19 
"2014-12-31", "2015-01-20", 1.19 
"2015-03-31", "2015-04-20", 0.49 
"2015-06-30", "2015-07-20", 0.44 
"2015-09-30", "2015-10-19", 0.31 
"2015-12-31", "2016-01-25", 0.31 
"2016-03-31", "2016-05-03", 0.07 
"2016-06-30", "2016-07-20", -0.14 
"2016-09-30", "2016-10-19", 0.01 
"2016-12-31", "2017-01-23", 0.04 
"2017-03-31", "2017-04-24", 0.04 
"2017-06-30", "2017-07-24", 0.23 
"2017-09-30", "2017-10-23", 0.42 
"2017-12-31", "2018-01-22", 0.53 
"2018-03-31", "2018-04-23", 0.41 
"2018-06-30", "2018-07-23", 0.58 
"2018-09-30", "2018-10-22", 0.50 
"2018-12-31", "2019-01-22", 0.41 
"2019-03-31", "2019-04-22", 0.23 
"2019-06-30", "2019-07-22", 0.35 
"2019-09-30", "2019-10-21", 0.34 
