"2014-06-30", "2014-08-06", 0.39 
"2014-09-30", "2014-11-04", 0.45 
"2014-12-31", "2015-02-11", 0.17 
"2015-03-31", "2015-05-05", 0.33 
"2015-06-30", "2015-08-05", 0.09 
"2015-09-30", "2015-11-03", 0.64 
"2015-12-31", "2016-02-10", 0.12 
"2016-03-31", "2016-05-10", 0.41 
"2016-06-30", "2016-08-09", 0.34 
"2016-09-30", "2016-11-08", 0.28 
"2016-12-31", "2017-02-14", 0.19 
"2017-03-31", "2017-05-09", 0.52 
"2017-06-30", "2017-08-09", 0.36 
"2017-09-30", "2017-11-07", 0.20 
"2017-12-31", "2018-02-15", 0.45 
"2018-03-31", "2018-05-08", 0.43 
"2018-06-30", "2018-08-08", 0.52 
"2018-09-30", "2018-11-06", 0.17 
"2018-12-31", "2019-02-21", 0.79 
"2019-03-31", "2019-05-14", 0.16 
"2019-06-30", "2019-08-06", 1.03 
