"2014-09-30", "2014-10-30", -0.40 
"2014-12-31", "2015-02-20", -0.70 
"2015-03-31", "2015-04-30", -1.18 
"2015-06-30", "2015-07-30", -0.52 
"2015-09-30", "2015-10-30", -1.31 
"2015-12-31", "2016-02-19", -1.28 
"2016-03-31", "2016-05-06", -0.62 
"2016-06-30", "2016-08-09", -0.61 
"2016-09-30", "2016-11-03", -0.41 
"2016-12-31", "2017-02-28", -0.34 
"2017-03-31", "2017-05-04", 0.41 
"2017-06-30", "2017-08-08", -0.93 
"2017-09-30", "2017-11-14", -1.08 
"2017-12-31", "2018-02-21", 0.54 
"2018-03-31", "2018-05-04", 1.33 
"2018-06-30", "2018-08-09", 0.07 
"2018-09-30", "2018-11-08", 0.14 
"2018-12-31", "2019-02-26", 0.48 
"2019-03-31", "2019-05-09", 0.68 
"2019-06-30", "2019-08-08", -0.44 
"2019-09-30", "2019-11-01", -0.39 
