"2014-06-30", "2014-08-06", 0.29 
"2014-09-30", "2014-11-05", 0.32 
"2014-12-31", "2015-02-04", 0.35 
"2015-03-31", "2015-05-05", 0.37 
"2015-06-30", "2015-08-04", 0.37 
"2015-09-30", "2015-11-03", 0.37 
"2015-12-31", "2016-02-08", 0.29 
"2016-03-31", "2016-05-04", 0.37 
"2016-06-30", "2016-08-02", 0.40 
"2016-09-30", "2016-11-02", 0.24 
"2016-12-31", "2017-02-07", -0.08 
"2017-03-31", "2017-05-08", 0.34 
"2017-06-30", "2017-08-07", 0.16 
"2017-09-30", "2017-11-06", 0.03 
"2017-12-31", "2018-02-06", 0.26 
"2018-03-31", "2018-05-08", 0.23 
"2018-06-30", "2018-08-07", 0.05 
"2018-09-30", "2018-11-06", 0.70 
"2018-12-31", "2019-02-05", 1.12 
"2019-03-31", "2019-05-07", 0.92 
"2019-06-30", "2019-08-06", 0.40 
