"2014-06-30", "2014-08-14", 0.06 
"2014-09-30", "2014-11-07", 0.10 
"2014-12-31", "2015-03-05", 0.12 
"2015-03-31", "2015-05-08", 0.21 
"2015-06-30", "2015-08-18", 0.11 
"2015-09-30", "2015-11-12", 0.05 
"2015-12-31", "2016-03-04", -0.00 
"2016-03-31", "2016-05-09", 0.23 
"2016-06-30", "2016-08-12", -0.02 
"2016-09-30", "2016-11-10", 0.06 
"2016-12-31", "2017-03-08", 0.14 
"2017-03-31", "2017-05-25", 0.28 
"2017-06-30", "2017-08-18", NaN 
"2017-09-30", "2017-11-17", 0.06 
"2017-12-31", "2018-03-14", NaN 
"2018-03-31", "2018-05-23", 0.27 
"2018-06-30", "2018-08-30", 0.12 
"2018-09-30", "2018-11-18", 0.10 
"2018-12-31", "2019-03-13", 0.07 
"2019-03-31", "2019-05-16", NaN 
"2019-06-30", "2019-08-21", NaN 
