"2014-09-30", "2014-10-29", 2.02 
"2014-12-31", "2015-01-29", 1.63 
"2015-03-31", "2015-04-30", 1.51 
"2015-06-30", "2015-07-31", 1.83 
"2015-09-30", "2015-10-30", 3.02 
"2015-12-31", "2016-01-29", 1.31 
"2016-03-31", "2016-04-29", 0.67 
"2016-06-30", "2016-07-29", 0.94 
"2016-09-30", "2016-10-28", 1.05 
"2016-12-31", "2017-02-03", 0.16 
"2017-03-31", "2017-04-28", 0.56 
"2017-06-30", "2017-08-01", 1.09 
"2017-09-30", "2017-10-27", 1.66 
"2017-12-31", "2018-02-02", 1.07 
"2018-03-31", "2018-04-27", 1.04 
"2018-06-30", "2018-07-27", 2.80 
"2018-09-30", "2018-10-26", 3.10 
"2018-12-31", "2019-02-08", 4.87 
"2019-03-31", "2019-04-30", 0.40 
"2019-06-30", "2019-07-26", 3.02 
"2019-09-30", "2019-10-25", 3.11 
