"2014-06-30", "NaN-NaN-NaN", 1.03 
"2014-09-30", "NaN-NaN-NaN", -1.07 
"2014-12-31", "2015-02-12 ", -3.14 
"2015-03-31", "2015-05-11 ", 2.20 
"2015-06-30", "2015-08-10 ", 3.05 
"2015-09-30", "2015-11-10 ", -1.12 
"2015-12-31", "2016-02-12 ", 1.84 
"2016-03-31", "2016-05-09 ", 2.32 
"2016-06-30", "2016-08-08 ", 3.80 
"2016-09-30", "2016-11-09 ", 1.44 
"2016-12-31", "2017-02-15 ", 2.84 
"2017-03-31", "2017-05-15 ", 3.47 
"2017-06-30", "2017-08-09 ", 1.59 
"2017-09-30", "2017-11-13 ", 3.73 
"2017-12-31", "2018-02-15 ", 3.40 
"2018-03-31", "2018-05-10 ", 2.75 
"2018-06-30", "2018-08-07 ", 2.35 
"2018-09-30", "2018-11-09 ", 2.23 
"2018-12-31", "2019-02-15 ", -2.36 
"2019-03-31", "2019-05-10 ", 2.16 
"2019-06-30", "2019-08-09 ", 0.28 
